restaurant_name,name,rating,review
Merr Kayu Manis Restaurant,Erik Widiyanto (AKIM),5.0,"This is small foodcourt, they have several popular food tenant in surabaya. Kupang, pecel, semanggi, bakso ketabang kali, sate tretes (ayam/kelinci/kambing), mie and so many others menu. Service is fastAt 6-8 pm it is a very busy restaurant, hard to find seat"
Merr Kayu Manis Restaurant,Frieddy Kurniawan,5.0,"This restaurant provide many kind of famous food in Surabaya. From Mie Kluntung Pak Yanto, Sate Tretes, Tahu Tek Pak Jayen, Rujak Cingur Delta and other delicious menu in Surabaya. So, in one place you and family can order variatif menu. The room is comfortable because full air conditioner. This place also provide delicious snack and toilet for customer. Nice place to visit"
Merr Kayu Manis Restaurant,Alvin Jusuf,4.0,"The place not bad, also the foods pretty good too, the price just standard, not really expensive and too cheap"
Merr Kayu Manis Restaurant,Yoseph J,5.0,"Price is really cheap, food was great. Ambience is great for small depot. They have baby chair which is awesome if you have babies. This in only small restaurant or pujasera, so don't expect the place to be instagramable, but you can enjoy some great food and great price here."
Merr Kayu Manis Restaurant,Bill,3.0,"The food was normal, some are good some are bad, the safe bet was dont buy a weird one :)Buy something normal like soto ayam, mie jawa, nasi goreng or something like that"
Merr Kayu Manis Restaurant,李瑞锦,5.0,"Notable indonesian food tenants in one place. Soto gubeng pjka, semanggi dempo are here. Fast service, clean place."
Merr Kayu Manis Restaurant,Zata Atikah Amani,4.0,"Rujak tolet is the best one I've ever tried. And mie melet is quiet good. And nasi madura is not the best one nor the worst one, just normal"
Merr Kayu Manis Restaurant,Rachma Fitriani,5.0,"Various food choices, some are best and well known Surabaya's delicacy. Food taste also kinda good (satay, rujak cingur both are good. Soto also good. Mie ayam and nasi madura taste just okay. Es campur also okay, but they serve it on a plate not a bowl like any other es campur we've known. Or idk maybe the style is different nowadays? Btw that's only my personal opinion tho, can be different with anyone. No hate.) Eating area kinda spacious, it's nice and clean. Parking area also spacious. Only slight minus here is they took sometime to serve your food, it will be very nice if they can prepare the food faster."
Merr Kayu Manis Restaurant,Stefanus Saputra,3.0,"This is a food market in the area, various food stands available. But price adjusted from its original tenants. So a bit overpriced compared with the benefits"
Merr Kayu Manis Restaurant,Christine Sidarta,5.0,You can choose many kinds of Indonesian food that u like.....it's delicious
Merr Kayu Manis Restaurant,Arief Setiyanto,5.0,various Indonesiaan traditional cuisines.. good in taste and affordable..
Merr Kayu Manis Restaurant,Adhilla Salsabila,5.0,"Great versatile food, where you'll enjoy the atmosphere of being a true Indonesian here. It serves you many cultural and traditional dishes, you'll even find almost every iconic Indonesian dishes here"
Merr Kayu Manis Restaurant,Nancy Tan,5.0,"Clean and bright dining place with lots of menu variants from local traditional to chinese and western menu are here. Taste are good with reasonable price. I've tried so far sate ayam, tahu campur, soto ayam, rujak cingur, pempek, es kacang ijo, bakso, mie kluntung...delicious allll..."
Merr Kayu Manis Restaurant,Sani The Sunshine,4.0,"Great dining experience for those who want to have local food. So many options starting from bakso, nasi goreng, satay, bubur madura, soto, etc. They bring the best tenants. It has indoor and outdoor seating areas. Price is affordable."
Merr Kayu Manis Restaurant,Marry Kusuma,5.0,"Love this place. This place has lots of menu available. You can try most of Surabaya specialty food here. Recommended to try are sate, soto, tahu tek or tahu campur. This place can be crowded during dinner time and has spacious parking. Early in the morning, you can find delicious and cheap street food in front of them"
Merr Kayu Manis Restaurant,Naomi Lee,5.0,I love eating here cause it's pretty cozy and comfortable place. They have many food stand with many variants of dish from many place in Indonesia. I recommend you to empty your stomach so you can try as many as you want.
Merr Kayu Manis Restaurant,ChanS,3.0,"Despite the medium sized place, it offers wide range of culinary. Some are well known around the town, like Sate Brewok, Rujak cingur Delta, Soto daging PJKA, and good dessert like Es campur Tidar. Moderate portion with reasonable price. It's clean, but less nice ambience with too many flies. Wide parking space."
Merr Kayu Manis Restaurant,A Faricha Mantika,4.0,"This is a popular resto in MERR. You can get various ""popular food"" of Surabaya in this resto. Their service is good. There is only 1 floor here, it's typically crowded during weekend and dinner time (all day). The parking lot is quite spacious for car, and you'll get assistance to park your car here. Their es campur also the best. They also sell kerupuk and bottled drink from local seller."
Merr Kayu Manis Restaurant,Salomo Stevanooz,4.0,"Good place if you looking for local surabaya food. The place almost always crowded. The price and the food is resonable. The taste? Well, it's depend on your personal opinion. But at least you can have tasty, affordable, lot of choices of surabayan foods in one place. The place you can visit and enjoy the food."
Merr Kayu Manis Restaurant,Pranata Santoso,3.0,"One of many food courts in Rungkut district. This place offers several best dishes in Surabaya including Semanggi Dempo, Sate Brewok and Tahu Tek Pak Jayen. Parking area quite huge. Service is quick and excellent"
Merr Kayu Manis Restaurant,unsia fika,2.0,"I get used to eat here many times but so sorry to say this, my honest rating says that the waitress isn't welcome and smell of the cabins aren't good tho 😕 I'd rather pick my food up at home than eatin' here. wish u can serve better. thank you 🙏"
Merr Kayu Manis Restaurant,Oscar Febrianes,5.0,A humble food stall in East Surabaya by the MERR!! Very busy during lunch and dinner time!! Recommended food - Tahu Telur Pak Jayen - Nasi Goreng Jawa - Rujak Cingur - all is good to be honest :p
